,Country,Year,Expenditure_per_Visitor
1872,PHILIPPINES,2001,957.47062115277
1873,PHILIPPINES,2002,825.7998984255968
1874,PHILIPPINES,2003,783.69384359401
1875,PHILIPPINES,2004,664.0625
1876,PHILIPPINES,2005,1407.6492537313434
1877,PHILIPPINES,2006,1003.2786885245902
1878,PHILIPPINES,2007,988.2583170254403
1879,PHILIPPINES,2008,1129.359165424739
1880,PHILIPPINES,2009,1151.5056461731492
1881,PHILIPPINES,2014,3038.4174311926604
1882,PHILIPPINES,2015,2217.5953079178885
1883,PHILIPPINES,2016,1952.4811502717869
1884,POLAND,1995,151.15288427185533
1885,POLAND,1996,139.55672846823072
1886,POLAND,1997,118.28841802098334
1887,POLAND,1998,89.80700616282842
1888,POLAND,1999,65.33931067027243
1889,POLAND,2000,58.48933429786333
1890,POLAND,2001,65.81077519671699
1891,POLAND,2002,72.77490398064072
1892,POLAND,2003,79.65401497547121
1893,POLAND,2004,128.10938591307152
1894,POLAND,2005,135.64800078352636
1895,POLAND,2006,161.42384105960264
1896,POLAND,2007,162.96966001555896
1897,POLAND,2008,197.00256752184384
1898,POLAND,2009,187.57321110262288
1899,POLAND,2010,195.46304957904584
1900,POLAND,2011,190.68638779755025
1901,POLAND,2012,176.84820873886932
1902,POLAND,2013,163.65538227462915
1903,POLAND,2014,240.31073446327684
1904,POLAND,2015,173.8374717832957
1905,POLAND,2016,176.98876404494382
1906,POLAND,2017,189.48608137044968
1907,POLAND,2018,197.65432098765433
1908,POLAND,2019,183.3596837944664
1909,POLAND,2020,197.13075150524045
1910,POLAND,2021,236.87035507844757
1911,POLAND,2022,225.93931492236578
1912,PORTUGAL,2004,161.25080217023512
1913,PORTUGAL,2005,168.36002208724463
1914,PORTUGAL,2006,181.84786157362063
1915,PORTUGAL,2007,187.62208776025537
1916,PORTUGAL,2012,2779.5738427626743
1917,PORTUGAL,2013,2618.7919463087246
1918,PORTUGAL,2014,2763.648468708389
1919,PORTUGAL,2015,1951.9281563655572
1920,PORTUGAL,2016,2026.7903142709943
1921,PORTUGAL,2017,2096.127562642369
1922,PORTUGAL,2018,2170.555108608206
1923,PORTUGAL,2019,1848.0645161290322
1924,PORTUGAL,2020,4617.64705882353
1925,PORTUGAL,2021,4159.090909090909
1926,PORTUGAL,2022,2165.976665412119
1927,PUERTO RICO,1995,673.4033953112369
1928,PUERTO RICO,1996,693.4121621621622
1929,PUERTO RICO,1997,694.6442845723421
1930,PUERTO RICO,1998,699.2
1931,PUERTO RICO,1999,718.694885361552
1932,PUERTO RICO,2000,739.4757744241462
1933,PUERTO RICO,2001,754.3200601051841
1934,PUERTO RICO,2002,756.3162184189079
1935,PUERTO RICO,2003,774.37106918239
1936,PUERTO RICO,2004,797.2079353416606
1937,PUERTO RICO,2005,810.6382978723404
1938,PUERTO RICO,2006,820.8446866485014
1939,PUERTO RICO,2007,827.2033310201249
1940,PUERTO RICO,2008,843.5326842837273
1941,PUERTO RICO,2009,823.4767025089606
1942,PUERTO RICO,2010,825.5102040816327
1943,PUERTO RICO,2011,883.1168831168832
1944,PUERTO RICO,2012,898.4018264840182
1945,PUERTO RICO,2013,932.061978545888
1946,PUERTO RICO,2014,962.1689785624212
1947,PUERTO RICO,2015,892.7613941018767
1948,PUERTO RICO,2016,912.5475285171103
1949,PUERTO RICO,2017,905.6122448979592
1950,PUERTO RICO,2018,796.1696306429549
1951,PUERTO RICO,2019,933.420365535248
1952,PUERTO RICO,2020,905.5232558139535
1953,PUERTO RICO,2021,939.3019726858877
1954,PUERTO RICO,2022,1011.9705340699816
1955,ROMANIA,1995,121.49206902562315
1956,ROMANIA,1996,115.69241475295755
1957,ROMANIA,1997,109.0821720326766
1958,ROMANIA,1998,66.44421877266792
1959,ROMANIA,1999,64.07395600892572
1960,ROMANIA,2000,66.53099561678147
1961,ROMANIA,2001,70.06866416978777
1962,ROMANIA,2002,68.78582595101615
